Date,AAPL,MSFT,NVDA
2010-01-04,6.48753547668457,23.522567749023438,4.241150379180908
2010-01-05,6.498749732971191,23.530170440673828,4.30308198928833
2010-01-06,6.395379066467285,23.38576316833496,4.330605506896973
2010-01-07,6.383554935455322,23.14255714416504,4.2457380294799805
2010-01-08,6.425995826721191,23.30216407775879,4.254912853240967
2010-01-11,6.369308948516846,23.005752563476562,4.195276260375977
2010-01-12,6.296857833862305,22.8537540435791,4.053062915802002
2010-01-13,6.385677814483643,23.066553115844727,4.108112335205078
2010-01-14,6.34869384765625,23.530170440673828,4.043886661529541
2010-01-15,6.242595672607422,23.45416259765625,3.9246108531951904
2010-01-19,6.518757343292236,23.63656997680664,3.998014211654663
2010-01-20,6.418417453765869,23.248952865600586,3.9819552898406982
2010-01-21,6.30746603012085,22.808149337768555,3.9108495712280273
2010-01-22,5.994624614715576,22.010133743286133,3.775517702102661
2010-01-25,6.15589714050293,22.28373146057129,3.839742422103882
2010-01-26,6.242898464202881,22.420541763305664,3.718174457550049
2010-01-27,6.301708221435547,22.549741744995117,3.819098949432373
2010-01-28,6.041309356689453,22.162128448486328,3.6906495094299316
2010-01-29,5.822136402130127,21.417316436767578,3.530086040496826
2010-02-01,5.903075218200684,21.59212303161621,3.8007493019104004
2010-02-02,5.937330722808838,21.63011932373047,3.839742422103882
2010-02-03,6.039491176605225,21.75933074951172,3.8718554973602295
2010-02-04,5.821835041046143,21.15890884399414,3.647068977355957
2010-02-05,5.925205707550049,21.295711517333984,3.720468044281006
2010-02-08,5.884584903717041,21.067716598510742,3.713587522506714
2010-02-09,5.947335243225098,21.288114547729492,3.6837680339813232
2010-02-10,5.914898872375488,21.272912979125977,3.7548751831054688
2010-02-11,6.022514343261719,21.37171745300293,3.9269051551818848
2010-02-12,6.074352264404297,21.227312088012695,3.9796628952026367
2010-02-16,6.165902137756348,21.647275924682617,4.053062915802002
2010-02-17,6.140134811401367,21.830533981323242,4.0920562744140625
2010-02-18,6.151653289794922,22.120698928833008,3.823686361312866
2010-02-19,6.113456726074219,21.96797752380371,3.8030433654785156
2010-02-22,6.075564861297607,21.937435150146484,3.8099260330200195
2010-02-23,5.973708629608154,21.632001876831055,3.718174457550049
2010-02-24,6.0828399658203125,21.861080169677734,3.7961630821228027
2010-02-25,6.1234588623046875,21.838167190551758,3.761756181716919
2010-02-26,6.202882289886475,21.891618728637695,3.715881109237671
2010-03-01,6.335357189178467,22.15886878967285,3.8649768829345703
2010-03-02,6.331113338470459,21.73126792907715,3.862680673599243
2010-03-03,6.345663547515869,21.73126792907715,3.814512014389038
2010-03-04,6.387495517730713,21.861080169677734,3.8213932514190674
2010-03-05,6.637285232543945,21.830533981323242,3.938375234603882
2010-03-08,6.6412248611450195,21.861080169677734,3.881030797958374
2010-03-09,6.760664939880371,21.990886688232422,4.025534629821777
2010-03-10,6.815834999084473,22.120698928833008,4.034713268280029
2010-03-11,6.835844039916992,22.281038284301758,3.942962408065796
2010-03-12,6.869190216064453,22.34976577758789,3.9567246437072754
2010-03-15,6.785523891448975,22.365022659301758,3.9360814094543457
2010-03-16,6.804014205932617,22.42612075805664,4.07370662689209
2010-03-17,6.794009685516357,22.624649047851562,4.151695251464844
2010-03-18,6.810075759887695,22.609384536743164,4.004892826080322
2010-03-19,6.737321376800537,22.594104766845703,3.9567246437072754
2010-03-22,6.813107967376709,22.601741790771484,4.020949363708496
2010-03-23,6.922539710998535,22.815536499023438,4.103524208068848
2010-03-24,6.953159332275391,22.639921188354492,3.9659006595611572
2010-03-25,6.87070369720459,22.91480255126953,3.977367877960205
2010-03-26,6.999540328979492,22.647554397583008,3.977367877960205
2010-03-29,7.044708728790283,22.594104766845703,4.027830123901367
2010-03-30,7.149593353271484,22.731550216674805,4.043886661529541
2010-03-31,7.1238298416137695,22.365022659301758,3.991130828857422
2010-04-01,7.153234481811523,22.265766143798828,3.9498441219329834
2010-04-05,7.229626178741455,22.34976577758789,4.009483337402344
2010-04-06,7.261455535888672,22.387935638427734,3.9108495712280273
2010-04-07,7.2935872077941895,22.410842895507812,3.9360814094543457
2010-04-08,7.2738823890686035,22.84608268737793,3.8718554973602295
2010-04-09,7.329658508300781,23.166784286499023,3.897087574005127
2010-04-12,7.344820022583008,23.151517868041992,3.968193292617798
2010-04-13,7.349062442779541,23.25078010559082,4.050769329071045
2010-04-14,7.447884559631348,23.533306121826172,4.101232051849365
2010-04-15,7.54580020904541,23.57147789001465,4.131050109863281
2010-04-16,7.4997239112854,23.41876220703125,3.9131460189819336
2010-04-19,7.489717960357666,23.701276779174805,3.894793748855591
2010-04-20,7.414541244506836,23.94562530517578,3.9085564613342285
2010-04-21,7.858038425445557,23.922718048095703,3.8076319694519043
2010-04-22,8.077816009521484,23.968538284301758,3.823686361312866
2010-04-23,8.209986686706543,23.64020347595215,3.7709310054779053
2010-04-26,8.169669151306152,23.754735946655273,3.8076319694519043
2010-04-27,7.943522930145264,23.55620765686035,3.699824333190918
2010-04-28,7.930184364318848,23.60201644897461,3.7067065238952637
2010-04-29,8.143593788146973,23.670740127563477,3.819098949432373
2010-04-30,7.9147233963012695,23.319503784179688,3.603487014770508
2010-05-03,8.074176788330078,23.563844680786133,3.56449294090271
2010-05-04,7.841665744781494,23.006425857543945,3.383286237716675
2010-05-05,7.760121822357178,22.79263687133789,3.3259427547454834
2010-05-06,7.464862823486328,22.128326416015625,3.257129192352295
2010-05-07,7.149897575378418,21.540374755859375,3.2020792961120605
2010-05-10,7.699493885040283,22.097782135009766,3.339705467224121
