Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-08-17 00:00:00-04:00,62.65750545160251,62.66493665528399,60.3760314249028,60.64604568481445,114318800,0.0,0.0
2018-08-20 00:00:00-04:00,60.23978074237924,62.72190459545256,59.1349657269228,61.394142150878906,85438800,0.0,0.0
2018-08-21 00:00:00-04:00,61.557643173119665,62.79622754280014,61.35946891799888,62.75164031982422,67398800,0.0,0.0
2018-08-22 00:00:00-04:00,62.42465890377778,65.15449642481686,62.389978688914525,65.1049575805664,74985600,0.0,0.0
2018-08-23 00:00:00-04:00,64.7185122271309,66.75474521198896,64.5797913839543,66.10076904296875,72068400,0.0,0.0
2018-08-24 00:00:00-04:00,66.18502174424582,67.57966956894775,66.14043450161181,67.43351745605469,53151200,0.0,0.0
2018-08-27 00:00:00-04:00,67.73075212468133,69.08823577821462,67.41614685132839,68.34508514404297,50577600,0.0,0.0
2018-08-28 00:00:00-04:00,68.28562890659319,68.51352417891692,66.76712338144479,67.96855163574219,47538400,0.0,0.0
2018-08-29 00:00:00-04:00,67.89172681246289,69.27473975569718,67.68352415843644,69.02440643310547,42010800,0.0375,0.0
2018-08-30 00:00:00-04:00,68.71212966066916,69.82498461479867,68.4865830490304,68.85588073730469,34660800,0.0,0.0
2018-08-31 00:00:00-04:00,68.6551123522695,69.69609542069777,68.55597290857507,69.56720733642578,30659200,0.0,0.0
2018-09-04 00:00:00-04:00,69.43586176434314,70.69247549048423,69.15083296203794,70.31574249267578,39172000,0.0,0.0
2018-09-05 00:00:00-04:00,70.13972896855306,70.49416355162047,68.19656759454591,69.00704956054688,39315600,0.0,0.0
2018-09-06 00:00:00-04:00,68.84348516181,68.86826435076826,67.26466658133495,67.59430694580078,32279600,0.0,0.0
2018-09-07 00:00:00-04:00,66.6722950643377,68.63776276522144,66.22368282905036,67.38114929199219,29542000,0.0,0.0
2018-09-10 00:00:00-04:00,67.60668743513013,68.38990182264614,67.16799146845275,68.09248352050781,22014000,0.0,0.0
2018-09-11 00:00:00-04:00,67.62899101982437,68.50639048822265,67.42079594600767,67.61412048339844,24311200,0.0,0.0
2018-09-12 00:00:00-04:00,67.21509051077697,67.41089601751827,64.91750156952355,66.47401428222656,41909200,0.0,0.0
2018-09-13 00:00:00-04:00,67.1332940611641,68.15940657627162,66.9598019281918,67.25226593017578,30553600,0.0,0.0
2018-09-14 00:00:00-04:00,68.15693164700107,69.17560898293739,67.78763397739338,68.51383972167969,38693600,0.0,0.0
2018-09-17 00:00:00-04:00,68.2585388305261,68.74928922918423,67.70087101726388,67.89419555664062,20552800,0.0,0.0
2018-09-18 00:00:00-04:00,67.93385938286589,68.96244526914528,67.10603332358194,67.1729507446289,29952000,0.0,0.0
